None | Linux,Korthos Anti-Lag 2,Korthos Reflex,Mesa Anti-Lag 2,None | Windows,AMD Anti-Lag 2 | Windows
17.5,17.2,13.1,17.1,17,14.1
18.4,16.6,14.8,17,19.4,12.2
18.5,19.3,13,17.1,19.5,14.3
17.5,17.6,12.8,17.7,20,14.3
16.7,20.4,13.8,18.6,19.2,14.3
15.6,18.7,13.8,17.4,20.1,12.6
16.6,16.2,12.9,16.8,20.2,12.9
16.6,19,10.9,19.1,20.2,14.1
18.4,15.3,11.7,18.5,19.9,13.1
16.1,16,14.3,18.5,19.4,14.6
19.1,15,11.3,17.5,18.6,12.9
18.7,19.5,12.1,15.7,19.9,14.8
15.8,16.9,10.7,17,18.3,13.7
18.6,16.6,13.6,19.8,19.1,12.1
16.3,18.4,13.8,17.9,17.6,15.2
18.4,18.4,13.4,16.3,19,14.1
16,20.1,12.5,15.8,19.6,14.8
19,18,13.3,18.3,17.4,14
20,19.3,11.4,18.2,18.2,14.5
16.5,18.2,11.8,17.8,19.4,10.9
19.9,19.8,11.2,18.6,21.1,10.7
18.9,19.1,10.5,18.9,18.4,15.8
15.3,19.1,11,18.9,20.4,15
18.5,17.8,13.1,18.7,17.3,11.5
16.7,17.1,13.4,19,21.3,15.7
16,17.9,12.8,17,16.7,13.2
16.6,17.5,11.2,16.9,18.8,14.3
16.5,16.7,12.8,16.2,18,12.6
18.4,17.3,15.6,17.3,20.2,11.7
17.2,19.4,11.6,19.4,19,13.7
16.8,18.4,10.8,17.5,17.5,12
17.8,19,12.9,17.6,19.8,15.8
18.2,17.6,12,15.8,16.8,14.2
18.6,16.2,11.7,19.1,17.1,11.5
17.5,17.1,13.7,16.2,17.7,14.8
19,18.2,13.9,17,19.3,11.9
19.4,19.4,11.9,17.4,18.9,12.3
18.2,16.7,11.3,16.6,16.7,13.9
18.1,17.6,12.6,18.2,19.5,16.3
18.7,17.6,11.4,18.4,17.8,13.1
18.7,17.5,13.7,17.6,17.9,10.9
19.7,19.6,9.8,18.9,17,15.7
17.1,19.2,11.4,17.3,19.2,12.4
16.1,18.9,12.8,16.7,21.2,14.8
15.8,19.7,13.3,16.6,18,14.1
15.6,19.8,12.8,16.5,16.6,12
16.2,16.6,11.1,19,19.5,13.7
16.3,17.5,13.1,18.9,17.7,11.7
18.1,18,12.9,17.7,19.8,14
18.3,18.1,12.1,17.2,19.2,13.4
