None | Linux,Korthos Anti-Lag 2,Korthos Reflex,Mesa Anti-Lag 2,None | Windows,AMD Anti-Lag 2 | Windows,"native fsr3, Ultra preset - be sure to set before practice range"
36.4,21.1,23.7,38.5,38.5,25.9,
38.7,21.9,23.9,33.4,40.5,26.4,
36.5,19.7,22.5,35.1,41.5,26.1,
34,24.8,21.9,35,38.3,23,
34.2,21.4,25.5,31.3,40,26.1,
34.4,22,23.6,39.4,34,22,
38,23.7,28,39.3,38.5,23.6,
39.5,25.6,22,34.5,39.1,21.6,
40.8,22.2,25.7,33.5,39.1,23.8,
37.9,23,21,34.4,38.7,25.9,
35.2,25.2,23.9,39.5,40.7,21.6,
39.6,23.1,24.8,35,41.1,20.9,
34.4,23.9,22.3,30.5,41.1,24.7,
39.8,27.9,27,38.2,37.5,21,
39.4,23.2,23.2,38.2,39,25.9,
35.1,26.3,25.3,35.9,35.1,23.6,
34.9,22.1,25.1,31.4,41.1,20.8,
35,22,23.1,29.4,40.2,24.6,
36.3,26.8,26,37.4,38.5,22.7,
39.7,26.1,25.7,29.6,37.9,20.8,
33.5,26.9,19.8,33.1,40.1,21.3,
36.6,26.3,22.5,33.2,38.5,22.9,
39.4,26,20.2,30,38.2,27.2,
35.4,24.2,23.8,30.4,38.1,27.3,
36,21.2,21.2,38.4,36.8,23.5,
37.7,19.7,26.5,32.6,42.9,22.8,
40.2,22.8,26,30.7,36.3,25.1,
36.3,26.9,24.1,33.4,35.7,26.6,
38.2,22.9,23.4,34.7,38,21.1,
38.1,26.8,25.4,29.5,40.7,23.4,
37.6,21.8,20.5,38,36,26.6,
40.3,20.7,26,39.5,40,21.7,
40.1,23,20.1,32.5,40.3,25,
36.9,20.5,25.4,38.1,37.8,25.7,
39.4,22.1,24.6,31.1,40,23.5,
35.9,23,25.2,35.3,35.4,24.7,
35.7,26.7,25.2,34,35.6,25.8,
39.5,24.7,26.8,30.5,39.3,22.7,
34.8,22.4,24.8,38.6,38.5,24.7,
36.4,21.3,22.1,32.4,37.8,23,
38.9,27.5,23.5,33.5,37.5,24.6,
33.9,21.6,22.6,33,41.5,21.5,
36.4,24.8,23.5,36.3,37.7,25.3,
36.9,22,25.1,34.1,36.5,25.6,
37.3,26.5,21.8,32.9,37.7,23.9,
38.4,20.8,27.2,38.5,40.5,24.4,
36.6,20.3,20.4,39,41.2,24.1,
38.3,20.6,21.8,37.5,41.2,23.4,
39.7,26.1,20.7,35.8,37.2,22.9,
37.2,22.9,25,34.2,40.2,26.7,
