None | Linux,Korthos Reflex,None | Windows,AMD Anti-lag 1 | Windows,,"Epic, 200% render res, soldier 76"
43.2,23.9,33.3,37.8,,
33.5,22.9,38,31.3,,
29.2,16.8,36.7,32.9,,
41.8,29.4,34,38.5,,
35.8,17.3,27.7,26.3,,
39.1,28.1,34.4,40.6,,
33.3,27.7,43.6,30.3,,
45.5,24.6,27.6,36.5,,
44.4,29.6,29,27.8,,
39.8,16.6,33,38.4,,
36,13.6,32.8,39.1,,
32.3,14.8,33.1,28.5,,
35,15.3,39.8,24.6,,
40.2,20.6,32.4,37.1,,
34.4,27.8,38.4,31.9,,
30.3,24.1,29.9,36.3,,
38.7,22.8,40.9,33.2,,
32.5,17,34.2,30.9,,
45.6,13.9,33.3,25.2,,
33.9,21.7,33.3,38.6,,
45.3,28.4,38.5,38,,
35.5,19.9,39.5,28,,
32.1,15.7,37.7,24.8,,
30.7,20.3,30.4,36.1,,
36.5,28.2,32.1,30.1,,
45.8,25.6,35,35.8,,
41.5,14.9,33.1,31.7,,
37.5,21.6,40.6,38.8,,
40.5,13.1,37.9,30.2,,
46.7,25.1,37.5,26.8,,
38.7,21.5,40,35.3,,
43.5,18.7,31.8,36.6,,
41.8,13.9,29.1,35.4,,
32.7,15.4,38.1,33,,
41.6,13.6,42.8,31,,
40.5,14.8,39,28.5,,
40.1,26,31.1,33.7,,
43.7,15.3,37.9,34.4,,
29.7,29.9,35.6,32.4,,
36.2,19.2,35.9,34.6,,
47,22.1,42.1,37.7,,
32.3,26.9,41,27.7,,
39.8,24.1,42.4,30.4,,
35.6,24.8,37,29.6,,
45.8,14.1,36.1,29.5,,
32.6,17.1,42.9,26.9,,
38.3,27.1,36.9,37.6,,
38,26,29.5,34.3,,
39.3,14.4,33.2,24.1,,
37.3,13.9,41.1,31.2,,
