None | Linux,Korthos Reflex,None | Windows,AMD Anti-lag 1 | Windows,,"fsr3 native aa, max presets otherwise"
12.6,9.3,15.7,13,,
13.8,8.9,16.1,13.5,,
14,10.6,15.1,13.5,,
13.8,9.5,13.6,14.7,,
12.3,9.8,13,11.5,,
13.2,11.6,14.1,12.6,,
11.8,8.8,14.7,10.9,,
12.4,10.3,14.3,13,,
12.5,12.7,15,12.7,,
12,10.2,15.3,15.4,,
10.9,10.3,16.5,14.3,,
12.7,9.8,15.4,12.4,,
13.7,10.2,14,13.5,,
14,10.2,12.9,13.7,,
11.4,10.3,17.1,13.1,,
13,8.9,16.9,11,,
13.4,9.6,13.8,12.3,,
11.5,10.4,14.8,15.1,,
11.5,11.3,15.8,11.6,,
13,12.2,14.1,11.9,,
12.9,12.2,13.7,13.6,,
12.3,9.7,14.7,12.1,,
12.7,10.6,16,14.2,,
11.3,10.1,13.4,12.8,,
13.9,10.4,15.4,13.1,,
13,12.1,15.7,11.8,,
13.4,11.2,15.6,14.5,,
14.3,10.9,16.1,14.1,,
12.4,10.9,15.2,12.2,,
11.2,9.2,15.2,13.2,,
12.2,9.1,15.8,12.3,,
13.2,9,13.4,12.2,,
13.2,9.1,14.4,12.5,,
11.2,10.7,12.9,13.3,,
13,9.2,14.4,11.8,,
13,10.3,14.1,11.5,,
12.9,8.8,14.1,10.9,,
11.2,11.7,14.7,11.6,,
14.7,10.8,13.3,13.8,,
11.2,11,14,14.7,,
13.4,11.1,12.6,11.8,,
11.9,10.1,15.8,10.6,,
11.3,10.9,12.3,11.8,,
11.9,10.8,15.2,12.8,,
13.2,11.1,13.6,13.8,,
12.8,9.4,15,11.2,,
12.7,9.4,14.1,11.6,,
13.2,11.1,16.5,11.2,,
15,8.9,15.5,12,,
11.2,11.1,15.2,15.1,,
