None | Linux,KORTHOS Anti-Lag,KORTHOS Reflex,Mesa Anti-Lag,None | Windows,AMD Anti-Lag | Windows
17.9,12.1,12.9,18.5,18.5,12.6
16.7,9.6,9,17.8,20,13.3
17.5,9.9,12.1,17.4,19.2,10
17.7,10.3,10.6,18,19.1,11.1
17.6,11.2,12.4,17.7,19.5,12.9
17.8,11.1,9.4,18.5,18.5,13.5
18.2,9.1,10.4,17,20.5,11.6
16.7,9.9,12.1,18.6,17.8,13.4
17.1,12.5,9.2,18.8,19.8,10.9
16.5,10.8,10.1,18.8,19.6,12.7
18.5,9.1,10.1,16.2,18.7,11.4
17.4,9.1,11.6,16.5,17.3,11.1
16.9,12,10.7,16.1,20.3,11
15.9,11.9,8.9,17.7,17,12
19.3,8.8,11.6,18.4,19.9,10.6
17.3,10.5,10.6,17.8,19.5,10.1
17.4,9.4,10.2,20.3,20,9.4
20.7,10.8,11.9,19.3,18.3,9.6
18.3,9.5,10.2,18.6,18,12.9
17.9,9.7,11,18.7,19.1,12.4
19.9,10.8,10.1,17.2,16.2,11.2
16,10.7,10.6,18.9,17.7,11.9
18.4,11.1,10.5,18.3,19,9.6
17,11.9,11.5,17.3,17.1,9.1
20.1,10.4,11.5,19,19.3,12.1
17,12.9,11.4,18.9,16.1,11.3
18,9.8,9.7,16.9,17.3,10.1
17,10.1,10,19,20.5,9.7
16,10.6,12.8,18.4,19.6,9.8
19.2,10.4,10.6,17.2,18,10.7
18.7,11.5,11.3,18.7,18.6,11.7
19.3,10.8,11,17.4,19.2,10.2
15.9,11.2,12,16,17.1,10
17.9,9.3,11.1,20.8,20.1,12.9
20.6,12,10.8,18.5,19,11.8
17.4,8.8,9.7,19.1,17,11.8
18.8,13.2,11.7,18,19.1,10.8
18.9,11.3,9.6,17.8,19.3,9.8
19.6,10,12.3,17.6,20.3,10.2
18.3,11.5,10.8,18.1,18.1,12.9
17.8,12.9,11.7,20.3,16.9,11.5
19.2,10.3,9.8,21,17.6,9.9
16.6,12.5,12.3,16.6,16.2,11.5
15.9,11.1,11,20.3,18.3,12.8
19.1,11.9,11.4,19.7,19.4,12.4
18.5,13,11.8,19.9,19.5,13.6
17.7,11.5,11.2,16.7,20.9,10.7
19.7,10.5,13.1,17.5,20.1,11.7
18.5,9,10.6,18.1,16.3,11.6
16.9,12.1,10.8,18.3,19.4,12.7
